anchorUserID,username,type,orderTime,content,anchor,,,,,,,,,
189,tb***88,直播,2019.07.13,薇娅姐带货非常厉害，一晚上卖了几万件，感谢薇娅姐以及谦寻机构的所有员工辛苦对接，期待下一次的合作,薇娅viya,,,,,,,,,
190,苏陌***ve,直播,2019.07.12,薇娅很给力，工作团队配合的也十分满意，讲解时间如果能在长一点点就更好了～总之十分满意～,薇娅viya,,,,,,,,,
191,a1***59,直播,2019.07.11,效果很好，期待下次合作！！,薇娅viya,,,,,,,,,
192,a1***59,直播,2019.07.11,效果非常好，感谢薇娅！！！,薇娅viya,,,,,,,,,
193,窗外***莲树,直播,2019.07.10,一姐就是一姐，真的超级腻害拉，长期合作长期合作,薇娅viya,,,,,,,,,
194,sa***77,直播,2019.07.09,一姐就是一姐，带货能力没得将，超级棒，产品讲解专业。佩服！！！期待下次合作,薇娅viya,,,,,,,,,
195,hp***27,直播,2019.06.27,5星~我已成为您的忠实粉丝,薇娅viya,,,,,,,,,
196,tb***91,直播,2019.06.27,我心中的的薇娅大佬果然是最棒的，无可替代！,薇娅viya,,,,,,,,,
197,jd****mr,直播,2019.06.25,非常棒,薇娅viya,,,,,,,,,
198,柳*l,直播,2019.06.21,薇娅非常给力！无数赞,薇娅viya,,,,,,,,,
199,jd****mr,直播,2019.06.21,女王威武，备的货全卖光,薇娅viya,,,,,,,,,
200,ti***88,直播,2019.06.20,效果很好,薇娅viya,,,,,,,,,
201,a1***59,直播,2019.06.19,非常满意,薇娅viya,,,,,,,,,
202,jd****mr,直播,2019.06.17,一句话，我想给薇娅姐一万分都不止，不愧是一主播，真棒！棒！棒！棒！,薇娅viya,,,,,,,,,
203,jd****mr,直播,2019.06.17,可以,薇娅viya,,,,,,,,,
204,a1***59,直播,2019.06.06,淘宝一大主播这个名字当之无愧！！！,薇娅viya,,,,,,,,,
205,a1***59,直播,2019.06.06,超级好超级好超级好，大爱薇娅~！！！！,薇娅viya,,,,,,,,,
206,bo***46,直播,2019.06.03,很棒，已爆单，下次还合作~,薇娅viya,,,,,,,,,
207,jd****mr,直播,2019.05.28,120个赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞。,薇娅viya,,,,,,,,,
208,jd****mr,直播,2019.05.21,薇娅流量最大,薇娅viya,,,,,,,,,
209,韩都***号1,直播,2019.05.17,很好，带货能力名不虚传，希望能继续合作,薇娅viya,,,,,,,,,
210,天*皑,直播,2019.05.14,很好，合作多次了，,薇娅viya,,,,,,,,,
211,壹*记,直播,2019.05.08,非常满意的一次合作！薇娅太给力了！！对接也非常负责、及时，期待下次合作~,薇娅viya,,,,,,,,,
212,a1***59,直播,2019.05.07,超赞，合作过很多次，每次都很完美~~~期待下次合作！！,薇娅viya,,,,,,,,,
213,窗外***莲树,直播,2019.04.30,非常好，带货杠杠的期待长期合作！！！,薇娅viya,,,,,,,,,
214,ts***24,直播,2019.04.30,效果还是不错的，开播当天成交22万，二天成交了4万，后续还有访客陆续到访,薇娅viya,,,,,,,,,
215,zk***21,直播,2019.04.29,薇娅姐非常给力！超级棒！,薇娅viya,,,,,,,,,
216,39***黄波,直播,2019.04.28,效果超级超级棒，建议你们TOP主播首选薇娅，真的效果绝对好,薇娅viya,,,,,,,,,
217,a1***59,直播,2019.04.24,效果非常好，薇娅讲解很详细，期待下次合作~~,薇娅viya,,,,,,,,,
218,老实***费者,直播,2019.04.23,合作愉快！,薇娅viya,,,,,,,,,
219,老实***费者,直播,2019.04.23,合作愉快！,薇娅viya,,,,,,,,,
220,老实***费者,直播,2019.04.23,合作愉快！,薇娅viya,,,,,,,,,
221,天*皑,直播,2019.04.21,合作好多次了，真的很好,薇娅viya,,,,,,,,,
222,lo***lf,直播,2019.04.21,合作愉快，销售很好，感谢薇娅。,薇娅viya,,,,,,,,,
223,幸福***88,直播,2019.04.15,效果很给力，讲解也到位，非常满意的一次合作，期待下次合作,薇娅viya,,,,,,,,,
224,粉*联,直播,2019.04.10,好评,薇娅viya,,,,,,,,,
225,jd****mr,直播,2019.04.10,薇娅姐给力到炸裂，超级惊喜！！非常感谢！！感谢谦寻，感谢薇娅,薇娅viya,,,,,,,,,
226,jd****mr,直播,2019.04.06,不愧是带货王~~薇娅姐真的超级棒！,薇娅viya,,,,,,,,,
227,御美***方1,直播,2019.04.04,好评,薇娅viya,,,,,,,,,
228,39***黄波,直播,2019.04.02,直播一姐就是一姐，效果超级牛,薇娅viya,,,,,,,,,
229,银*川,直播,2019.04.02,女神就是女神合作两年了效果一次比一次好期待下一次的合作!!!!,薇娅viya,,,,,,,,,
230,jd****mr,直播,2019.04.02,薇娅姐太给力，感谢薇娅姐及谦寻团队,薇娅viya,,,,,,,,,
231,a1***59,直播,2019.03.29,很好，非常给力，期待下次合作,薇娅viya,,,,,,,,,
232,追寻***11,直播,2019.03.27,不错，期待下次的合作,薇娅viya,,,,,,,,,
233,云康***园店,直播,2019.03.25,大爱薇娅，太厉害了，崇拜！,薇娅viya,,,,,,,,,
234,茶*茶,直播,2019.03.25,特别感谢薇娅姐及谦寻团队,薇娅viya,,,,,,,,,
